nomi;muallif;janr;narx;soni;tavsif
Muqaddima;Ibn Xaldun;tarix;300000;100;Tarix falsafasi va jamiyatshunoslikning asos kitobi. Davlatlar qanday yuksalib, qanday qulashini tushuntirib bergan buyuk asar.
O'tkan kunlar;Abdulla Qodiriy;badiiy;65000;40;O'zbek romanchiligining ilk va eng sevimli namunasi — Otabek va Kumushning muhabbat qissasi.
Kecha va kunduz;Cho'lpon;badiiy;60000;25;Zebi taqdiri orqali butun bir davr fojiasi hikoya qilingan roman.
Ikki eshik orasi;O'tkir Hoshimov;badiiy;75000;30;Urush yillari va inson taqdirlari haqida ko'p ovozli roman.
Dunyoning ishlari;O'tkir Hoshimov;badiiy;45000;35;Onaga bag'ishlangan, har bir kitobxonning yuragiga yaqin qissalar.
Shaytanat;Tohir Malik;detektiv;120000;20;Jinoyat olami va uning ichidagi odamlar haqida mashhur ko'p jildli roman.
Boburnoma;Zahiriddin Muhammad Bobur;tarix;95000;25;Buyuk sarkarda va shoirning o'z qalami bilan yozilgan hayot yo'li.
Ulug'bek xazinasi;Odil Yoqubov;tarix;55000;20;Mirzo Ulug'bek hayotining so'nggi yillari haqida tarixiy roman.
Alkimyogar;Paulo Koelo;jahon;55000;45;O'z orzusi ortidan yo'lga chiqqan cho'pon yigit haqida hikmatli qissa.
Jinoyat va jazo;Fyodor Dostoyevskiy;jahon;85000;15;Vijdon va jazo haqidagi jahon adabiyotining durdona romani.
1984;Jorj Oruell;jahon;60000;20;Erkinlik va nazorat haqida bashoratli antiutopiya.
Kichkina shahzoda;Antuan de Sent-Ekzyuperi;bolalar;40000;50;Kattalar uchun ham, bolalar uchun ham — do'stlik va mehr haqida ertak.
Sariq devni minib;Xudoyberdi To'xtaboyev;bolalar;45000;30;Hoshimjonning sarguzashtlari — avlodlar sevib o'qigan kitob.
Atom odatlar;Jeyms Klir;rivojlanish;79000;60;Kichik odatlar orqali katta natijalarga erishish usullari.
Boy ota, kambag'al ota;Robert Kiyosaki;biznes;69000;40;Pul va moliyaviy savodxonlik haqida eng mashhur kitoblardan biri.
Sapiens;Yuval Noy Harari;ilmiy;110000;25;Insoniyatning qisqacha tarixi — ovchilardan sun'iy intellektgacha.
Fikrlash: tez va sekin;Daniel Kaneman;psixologiya;98000;15;Qaror qabul qilishda miyamiz qanday xato qilishi haqida.
Ma'no izlab;Viktor Frankl;psixologiya;50000;30;Eng og'ir sharoitda ham hayot ma'nosini topish haqida.
Sofi dunyosi;Yostein Gorder;falsafa;85000;20;Falsafa tarixi — qiziqarli roman ko'rinishida.
Saodat asri qissalari;Ahmad Lutfiy Qozonchi;diniy;90000;35;Sahobalar hayotidan ibratli hikoyalar.
Navoiy g'azallari;Alisher Navoiy;sheriyat;70000;20;Buyuk shoir g'azallaridan saralangan to'plam.
